Название,Цена,Ссылка
Спроектировать новую главную страницу сайта,10 000 руб. за проект,https://freelansim.ru//tasks/216035
Дизайн макет,1 000 руб. за проект,https://freelansim.ru//tasks/216033
Необходимо написать текст для презентации приложения. Сегодня,8 000 руб. за проект,https://freelansim.ru//tasks/216031
Разработать новый дизайн для сайта потолков,Не указано!,https://freelansim.ru//tasks/216029
Исправить скрипт на Node js,Не указано!,https://freelansim.ru//tasks/216027
Разработать сайт под ключ,Не указано!,https://freelansim.ru//tasks/216025
Сделать каталог с рубриками и компаниями. Загрузить компании,Не указано!,https://freelansim.ru//tasks/216023
Внести правки и добавить материалы на сайт ,Не указано!,https://freelansim.ru//tasks/216021
"Написание отзывов, партизанский маркетинг",Не указано!,https://freelansim.ru//tasks/216019
Разработка и внедрения на сайт системы вознаграждний,Не указано!,https://freelansim.ru//tasks/216017
Произвести сегментацию клиентов в АМО црм на основании API,25 000 руб. за проект,https://freelansim.ru//tasks/216015
Разработка локации ,50 000 руб. за проект,https://freelansim.ru//tasks/216013
Сделать Android приложение,Не указано!,https://freelansim.ru//tasks/216011
Нарисовать схему поселка для сайта по продаже участков,Не указано!,https://freelansim.ru//tasks/216009
Разработка на laravel,Не указано!,https://freelansim.ru//tasks/216007
Написать клон javascript игры,10 000 руб. за проект,https://freelansim.ru//tasks/216005
Разработка фронтэнд на angular 6 (долгосрочное сотрудничество),130 000 руб. за месяц,https://freelansim.ru//tasks/211677
Помочь в решении базовых задачек по Machine Learning,1 500 руб. за проект,https://freelansim.ru//tasks/216001
Копирование урлов фотографий в Google Drive одним кликом,Не указано!,https://freelansim.ru//tasks/215999
Редизайн сайта + правки,Не указано!,https://freelansim.ru//tasks/216049
Дизайн презентации ,4 500 руб. за проект,https://freelansim.ru//tasks/216047
Создать список из русских слов и их перевода на татарский в строчку,Не указано!,https://freelansim.ru//tasks/216045
Сверстать lending page,2 500 руб. за проект,https://freelansim.ru//tasks/216043
Разработчик ASP Classic + SQL Server на 30-40 часов в неделю ,Не указано!,https://freelansim.ru//tasks/216039
Большой объем задач по Frontend разработке,150 000 руб. за месяц,https://freelansim.ru//tasks/216037
Спроектировать новую главную страницу сайта,10 000 руб. за проект,https://freelansim.ru//tasks/216035
Дизайн макет,1 000 руб. за проект,https://freelansim.ru//tasks/216033
Необходимо написать текст для презентации приложения. Сегодня,8 000 руб. за проект,https://freelansim.ru//tasks/216031
Разработать новый дизайн для сайта потолков,Не указано!,https://freelansim.ru//tasks/216029
Исправить скрипт на Node js,Не указано!,https://freelansim.ru//tasks/216027
Разработать сайт под ключ,Не указано!,https://freelansim.ru//tasks/216025
Сделать каталог с рубриками и компаниями. Загрузить компании,Не указано!,https://freelansim.ru//tasks/216023
Внести правки и добавить материалы на сайт ,Не указано!,https://freelansim.ru//tasks/216021
"Написание отзывов, партизанский маркетинг",Не указано!,https://freelansim.ru//tasks/216019
Разработка и внедрения на сайт системы вознаграждний,Не указано!,https://freelansim.ru//tasks/216017
Произвести сегментацию клиентов в АМО црм на основании API,25 000 руб. за проект,https://freelansim.ru//tasks/216015
Разработка локации ,50 000 руб. за проект,https://freelansim.ru//tasks/216013
Сделать Android приложение,Не указано!,https://freelansim.ru//tasks/216011
Нарисовать схему поселка для сайта по продаже участков,Не указано!,https://freelansim.ru//tasks/216009
Разработка на laravel,Не указано!,https://freelansim.ru//tasks/216007
Написать клон javascript игры,10 000 руб. за проект,https://freelansim.ru//tasks/216005
Разработка фронтэнд на angular 6 (долгосрочное сотрудничество),130 000 руб. за месяц,https://freelansim.ru//tasks/211677
Помочь в решении базовых задачек по Machine Learning,1 500 руб. за проект,https://freelansim.ru//tasks/216001
Копирование урлов фотографий в Google Drive одним кликом,Не указано!,https://freelansim.ru//tasks/215999
Редизайн сайта + правки,Не указано!,https://freelansim.ru//tasks/216049
Дизайн презентации ,4 500 руб. за проект,https://freelansim.ru//tasks/216047
Создать список из русских слов и их перевода на татарский в строчку,Не указано!,https://freelansim.ru//tasks/216045
Сверстать lending page,2 500 руб. за проект,https://freelansim.ru//tasks/216043
Разработчик ASP Classic + SQL Server на 30-40 часов в неделю ,Не указано!,https://freelansim.ru//tasks/216039
Большой объем задач по Frontend разработке,150 000 руб. за месяц,https://freelansim.ru//tasks/216037
Спроектировать новую главную страницу сайта,10 000 руб. за проект,https://freelansim.ru//tasks/216035
Дизайн макет,1 000 руб. за проект,https://freelansim.ru//tasks/216033
Необходимо написать текст для презентации приложения. Сегодня,8 000 руб. за проект,https://freelansim.ru//tasks/216031
Разработать новый дизайн для сайта потолков,Не указано!,https://freelansim.ru//tasks/216029
Исправить скрипт на Node js,Не указано!,https://freelansim.ru//tasks/216027
Разработать сайт под ключ,Не указано!,https://freelansim.ru//tasks/216025
Сделать каталог с рубриками и компаниями. Загрузить компании,Не указано!,https://freelansim.ru//tasks/216023
Внести правки и добавить материалы на сайт ,Не указано!,https://freelansim.ru//tasks/216021
"Написание отзывов, партизанский маркетинг",Не указано!,https://freelansim.ru//tasks/216019
Разработка и внедрения на сайт системы вознаграждний,Не указано!,https://freelansim.ru//tasks/216017
Произвести сегментацию клиентов в АМО црм на основании API,25 000 руб. за проект,https://freelansim.ru//tasks/216015
Разработка локации ,50 000 руб. за проект,https://freelansim.ru//tasks/216013
Сделать Android приложение,Не указано!,https://freelansim.ru//tasks/216011
Нарисовать схему поселка для сайта по продаже участков,Не указано!,https://freelansim.ru//tasks/216009
Разработка на laravel,Не указано!,https://freelansim.ru//tasks/216007
Написать клон javascript игры,10 000 руб. за проект,https://freelansim.ru//tasks/216005
Разработка фронтэнд на angular 6 (долгосрочное сотрудничество),130 000 руб. за месяц,https://freelansim.ru//tasks/211677
Помочь в решении базовых задачек по Machine Learning,1 500 руб. за проект,https://freelansim.ru//tasks/216001
Копирование урлов фотографий в Google Drive одним кликом,Не указано!,https://freelansim.ru//tasks/215999
